Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
tr TUR,Hakan Çalhanoğlu,MF,Inter,1879,20.9,5,6,4.4,5.6,52,173,51,41,12,86.6,49,28,43,22,17,60,24,1881,3,42.9,1150,1353,20
eng ENG,Dominic Calvert-Lewin,FW,Everton,1609,17.9,3,1,6.7,0.6,23,20,112,50,19,62.6,7,5,9,7,7,16,23,520,10,40.0,280,417,27
ci CIV,Drissa Camara,"MF,FW",Parma,447,5.0,0,0,1.2,0.8,18,27,35,15,5,73.1,5,5,9,7,3,12,1,251,17,63.0,174,173,17
gn GUI,Issiaga Camara,MF,Nice,20,0.2,0,0,0.0,0.0,1,2,1,0,0,93.8,0,0,2,1,3,5,0,23,0,0.0,11,13,0
sn SEN,Lamine Camara,MF,Monaco,2054,22.8,2,7,2.3,4.4,25,141,46,26,9,82.8,44,26,66,41,31,97,32,1743,12,48.0,967,1170,45
fr FRA,Mahdi Camara,"MF,FW",Brest,2659,29.5,5,3,4.1,2.0,58,111,112,49,19,85.8,26,17,71,40,33,104,29,1530,29,44.6,828,999,41
fr FRA,Ousmane Camara,DF,Angers,252,2.8,0,0,0.1,0.0,0,3,0,1,0,90.1,1,0,4,3,0,4,18,126,0,,70,82,1
it ITA,Francesco Camarda,"FW,MF",Milan,206,2.3,0,0,0.6,0.5,2,1,16,8,1,84.1,5,0,5,2,0,5,3,80,2,28.6,34,51,8
fr FRA,Eduardo Camavinga,"MF,DF",Real Madrid,1102,12.2,1,2,0.4,0.8,26,61,31,8,2,88.3,11,5,42,26,18,60,23,957,15,48.4,565,643,21
it ITA,Nicolò Cambiaghi,FW,Bologna,620,6.9,1,3,0.8,1.9,45,25,63,14,4,72.2,12,11,16,10,2,18,2,334,11,44.0,241,257,9
it ITA,Andrea Cambiaso,"DF,FW",Juventus,2221,24.7,2,3,0.7,2.6,78,111,122,17,6,88.5,34,31,46,30,16,62,34,1911,27,54.0,1195,1364,28
fr FRA,Axel Camblan,"MF,FW",Brest,26,0.3,0,0,0.0,0.0,2,2,1,1,0,42.9,0,0,1,1,0,1,0,10,0,,5,8,0
es ESP,Sergio Camello,FW,Rayo Vallecano,1134,12.6,3,2,4.1,2.0,20,27,68,32,9,78.7,19,7,9,3,4,13,16,398,13,56.5,222,308,11
es ESP,José Campaña,MF,Las Palmas,1189,13.2,0,3,0.1,0.9,11,87,15,5,3,84.3,14,12,21,16,19,40,19,946,8,44.4,478,605,7
it ITA,Thomas Campaniello,FW,Empoli,25,0.3,0,0,0.5,0.0,0,0,6,1,0,64.3,0,0,0,0,0,0,0,17,0,,5,13,0
us USA,Cole Campbell,"MF,FW",Dortmund,22,0.2,0,0,0.0,0.0,1,0,1,0,0,86.7,0,1,0,0,0,0,1,21,0,0.0,10,13,1
de GER,Emre Can,"DF,MF",Dortmund,2105,23.4,3,0,2.0,0.7,20,116,12,7,1,89.5,8,5,50,28,20,70,89,2156,15,57.7,1405,1582,25
es ESP,Peio Canales,"MF,FW",Athletic Club,259,2.9,0,0,0.2,0.2,6,6,11,3,0,79.5,6,2,3,2,2,5,2,140,5,45.5,74,86,1
it ITA,Matteo Cancellieri,"FW,MF",Parma,1424,15.8,3,0,2.7,0.7,40,24,79,22,7,67.4,11,7,26,16,13,39,30,531,28,40.0,314,348,26
gw GNB,Fali Candé,DF,Venezia,1530,17.0,1,1,1.1,0.6,5,47,3,5,2,81.0,4,3,25,19,15,40,90,1131,9,90.0,557,572,24
it ITA,Antonio Candela,DF,Venezia,1008,11.2,0,1,0.3,0.8,12,27,25,5,0,74.2,9,6,31,21,8,39,22,505,6,50.0,250,285,14
it ITA,Antonio Candela,DF,Valladolid,906,10.1,0,0,0.0,0.8,16,22,29,1,0,77.2,6,6,9,6,6,15,33,528,6,40.0,261,332,5
es ESP,Sergi Canós,"MF,FW",Valencia,370,4.1,0,1,0.5,0.2,7,9,47,11,3,58.2,4,3,11,7,5,16,5,231,1,7.7,124,164,12
fr FRA,Jaydee Canvot,"DF,MF",Toulouse,1106,12.3,0,0,0.2,0.7,9,41,0,5,1,86.2,4,6,23,11,11,34,54,666,7,70.0,384,431,18
fr FRA,Pierrick Capelle,MF,Angers,483,5.4,0,0,0.2,1.2,10,22,17,6,0,80.1,5,2,24,17,11,35,5,299,8,61.5,138,173,12
it ITA,Gianluca Caprari,"MF,FW",Monza,1651,18.3,3,2,4.2,2.4,43,81,104,28,9,79.1,30,21,19,11,8,27,2,912,10,25.0,629,686,18
it ITA,Elia Caprile,GK,Cagliari,1620,18.0,0,0,0.0,0.0,0,0,0,0,0,68.3,0,0,1,0,0,1,9,756,0,,408,335,0
it ITA,Elia Caprile,GK,Napoli,325,3.6,0,0,0.0,0.0,0,0,0,0,0,82.7,0,0,0,0,0,0,2,105,0,,44,62,0
fr FRA,Gabin Capuano,FW,Lens,11,0.1,0,0,0.0,0.0,0,0,1,0,0,100.0,0,0,0,0,0,0,0,4,0,,3,4,1
it ITA,Francesco Caputo,FW,Empoli,6,0.1,0,0,0.0,0.0,0,0,1,0,0,100.0,0,0,0,0,0,0,0,2,0,,1,1,0
fr FRA,Maxence Caqueret,MF,Como,1087,12.1,2,3,0.8,1.5,15,76,46,8,3,83.1,19,17,36,21,7,43,4,698,14,42.4,455,512,17
fr FRA,Maxence Caqueret,MF,Lyon,573,6.4,0,0,0.7,0.4,14,50,15,7,1,79.9,10,10,21,11,7,28,2,419,7,38.9,211,304,4
fr FRA,Simon Cara,"MF,FW",Montpellier,9,0.1,0,0,0.0,0.0,0,0,1,0,0,66.7,0,0,0,0,0,0,0,7,0,0.0,5,5,0
it ITA,Andrea Carboni,DF,Monza,2191,24.3,0,1,0.3,0.3,9,51,32,8,1,85.5,4,3,60,35,27,87,106,1412,5,55.6,822,925,29
it ITA,Franco Carboni,DF,Venezia,226,2.5,0,0,0.0,0.1,2,6,11,1,0,66.3,2,3,5,3,0,5,11,128,2,33.3,70,68,3
ar ARG,Valentin Carboni,"MF,FW",Marseille,103,1.1,0,0,0.0,0.1,4,4,8,2,1,89.1,3,4,2,2,1,3,1,81,0,0.0,51,69,5
es ESP,Dani Cárdenas,GK,Rayo Vallecano,540,6.0,0,0,0.0,0.0,0,0,0,0,0,52.5,0,0,0,0,0,0,3,190,0,,95,71,0
fr FRA,Irvin Cardona,"FW,MF",Espanyol,606,6.7,1,1,1.1,0.6,14,15,43,10,3,62.1,9,11,8,5,4,12,10,246,3,23.1,114,167,8
fr FRA,Irvin Cardona,FW,Saint-Étienne,1063,11.8,5,3,4.5,1.4,30,32,135,23,10,66.9,15,16,6,5,4,10,6,497,6,27.3,283,395,12
es ESP,Marc Cardona,"FW,DF",Las Palmas,132,1.5,0,0,0.4,0.0,2,3,12,4,0,79.2,0,0,4,2,0,4,0,73,1,14.3,45,53,2
es ESP,Sergi Cardona,DF,Villarreal,2945,32.7,1,7,2.4,5.8,52,77,198,20,6,77.3,45,46,71,48,40,111,122,1842,10,33.3,813,952,38
us USA,Johnny Cardoso,MF,Betis,2144,23.8,3,1,2.0,0.9,19,71,28,19,7,85.7,9,4,55,31,48,103,64,1427,26,61.9,752,890,38
lu LUX,Tiago Cardoso,GK,Gladbach,380,4.2,0,0,0.0,0.0,0,0,0,0,0,74.9,0,0,1,0,0,1,2,189,0,,101,94,0
se SWE,Patrik Carlgren,GK,Nantes,417,4.6,0,0,0.0,0.0,0,0,0,0,0,65.7,0,0,0,0,0,0,0,144,0,,75,50,0
br BRA,Diego Carlos,DF,Aston Villa,830,9.2,0,0,0.6,0.0,3,34,0,4,1,88.6,0,1,8,3,5,13,36,674,2,100.0,419,481,11
es ESP,José Carlos González,DF,Las Palmas,11,0.1,0,0,0.0,0.0,0,0,1,0,0,88.9,0,0,0,0,0,0,0,9,0,,4,7,0
es ESP,Carmona,DF,Sevilla,2942,32.7,0,0,0.5,2.0,45,109,57,19,4,80.5,19,14,83,59,68,151,92,2192,19,38.0,894,1138,49
it ITA,Marco Carnesecchi,GK,Atalanta,3060,34.0,0,0,0.0,0.2,0,0,0,0,0,75.0,1,0,0,0,0,0,26,1178,0,,678,578,0
es ESP,Sergio Carreira,"MF,DF",Celta Vigo,1656,18.4,0,4,0.6,3.1,39,53,140,13,3,76.1,16,24,28,16,17,45,37,1057,14,46.7,571,672,19
es ESP,Dani Carvajal,DF,Real Madrid,609,6.8,1,0,1.3,0.2,13,27,48,3,1,86.2,5,5,12,8,10,22,19,532,2,40.0,278,376,3
pt POR,Fabio Carvalho,"FW,MF",Brentford,455,5.1,2,1,2.5,0.7,9,17,23,12,5,70.8,4,5,13,9,3,16,2,247,2,14.3,137,145,5
pt POR,William Carvalho,MF,Betis,484,5.4,0,0,0.2,0.2,5,45,10,4,1,86.8,6,4,9,6,3,12,6,432,3,60.0,294,342,7
it ITA,Cesare Casadei,MF,Torino,1017,11.3,1,1,1.2,0.4,14,36,12,14,7,79.6,7,6,12,5,5,17,26,508,7,70.0,259,352,16
es ESP,Marc Casado,MF,Barcelona,1611,17.9,1,3,1.1,1.4,12,107,24,14,1,89.3,9,6,44,25,22,66,22,1536,4,44.4,870,1172,26
it ITA,Nicolò Casale,DF,Bologna,900,10.0,0,1,0.5,0.5,3,29,2,4,1,87.5,3,2,11,5,17,28,43,615,3,100.0,328,353,23
it ITA,Nicolò Casale,DF,Lazio,135,1.5,0,0,0.0,0.0,0,6,0,1,1,90.9,0,0,5,3,1,6,2,124,0,,83,99,2
br BRA,Casemiro,MF,Manchester Utd,1494,16.6,1,0,1.9,2.3,4,84,28,32,10,78.8,22,23,83,50,14,97,51,1250,3,50.0,660,800,20
eng ENG,Kaelan Casey,DF,West Ham,1,0.0,0,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,,0,0,0
pl POL,Matty Cash,DF,Aston Villa,2070,23.0,1,1,0.5,1.1,48,42,90,13,6,77.5,10,10,56,32,23,79,70,1186,19,47.5,595,654,27
ie IRL,Eiran Cashin,DF,Brighton,20,0.2,0,0,0.0,0.0,0,6,1,0,0,82.1,0,0,0,0,0,0,2,32,0,0.0,21,25,0
fr FRA,Josué Casimir,"FW,MF",Le Havre,1997,22.2,4,4,3.3,3.4,71,41,151,27,9,68.7,26,13,37,26,7,44,35,814,22,45.8,465,526,28
it ITA,Federico Cassa,"MF,FW",Atalanta,14,0.2,0,0,0.0,0.0,1,1,2,0,0,83.3,0,0,0,0,0,0,0,9,0,0.0,9,8,2
ve VEN,Cristian Cásseres Jr.,MF,Toulouse,2696,30.0,1,3,1.0,2.6,31,128,46,17,5,78.8,27,23,96,61,42,138,36,1727,22,57.9,873,1009,53
be BEL,Timothy Castagne,DF,Fulham,1649,18.3,0,1,0.4,1.2,17,62,67,8,3,81.8,9,5,46,29,22,68,83,1164,5,41.7,547,665,15
ar ARG,Valentín Castellanos,FW,Lazio,2384,26.5,10,3,13.4,3.6,27,66,149,105,36,67.7,26,14,13,6,6,19,25,835,16,43.2,423,618,38
cm CMR,Jean-Charles Castelletto,"DF,MF",Nantes,2620,29.1,0,0,1.8,0.1,21,87,19,17,5,88.6,2,5,34,17,25,59,151,1682,3,100.0,948,1116,34
ar ARG,Santiago Castro,FW,Bologna,2294,25.5,8,4,7.7,2.9,17,39,136,62,20,76.8,28,8,18,10,3,21,20,722,18,41.9,428,519,49
it ITA,Gaetano Castrovilli,MF,Monza,596,6.6,0,0,0.3,0.4,10,24,28,6,0,79.0,7,5,12,7,2,14,9,305,5,45.5,187,192,8
it ITA,Gaetano Castrovilli,"MF,FW",Lazio,148,1.6,0,0,0.1,0.7,5,10,6,2,0,84.6,2,0,5,2,3,8,1,99,1,50.0,58,68,4
it ITA,Danilo Cataldi,MF,Fiorentina,1712,19.0,3,0,1.1,0.8,18,90,16,13,5,84.5,15,10,25,16,22,47,35,1147,3,30.0,657,764,15
es ESP,Catena,DF,Osasuna,3074,34.2,1,3,2.2,2.3,9,89,4,20,5,83.8,10,5,46,28,35,81,221,1905,8,72.7,984,1101,36
be BEL,Maximiliano Caufriez,DF,Valencia,90,1.0,0,0,0.0,0.0,0,1,0,0,0,78.6,0,0,1,1,1,2,4,23,0,,8,10,3
fr FRA,Enzo Caumont,MF,Angers,34,0.4,0,0,0.0,0.0,0,1,0,0,0,92.9,0,1,1,1,1,2,1,20,0,,10,13,1
es ESP,Dani Ceballos,MF,Real Madrid,1215,13.5,0,0,0.4,1.6,42,150,17,7,2,94.3,22,10,41,21,14,55,10,1473,8,53.3,999,1206,13
gm GAM,Abdoulie Ceesay,FW,St. Pauli,60,0.7,0,0,0.0,0.0,0,0,8,0,0,57.1,1,0,3,3,0,3,1,26,0,,12,18,2
tr TUR,Zeki Çelik,DF,Roma,2256,25.1,0,2,0.6,1.6,28,106,93,13,4,82.2,19,15,62,37,15,77,84,1627,8,57.1,836,1011,31
fr FRA,Fabien Centonze,DF,Nantes,265,2.9,0,0,0.0,0.2,10,15,31,0,0,78.2,3,7,8,4,2,10,17,184,2,28.6,90,105,2
it ITA,Alberto Cerri,FW,Como,87,1.0,0,0,1.0,0.0,0,0,11,4,1,65.2,0,0,0,0,0,0,1,36,0,,20,29,3
ar ARG,Franco Cervi,"FW,MF",Celta Vigo,273,3.0,0,0,0.0,0.3,3,14,21,0,0,68.9,5,2,8,3,8,16,7,160,1,50.0,82,95,4
de GER,Julian Chabot,DF,Stuttgart,2269,25.2,3,1,2.0,0.5,7,108,5,19,3,89.9,6,5,37,24,38,75,135,2239,3,60.0,1354,1535,35
fr FRA,El Chadaille Bitshiabu,DF,RB Leipzig,1130,12.6,0,0,0.3,0.4,4,69,2,5,3,84.4,5,4,27,18,13,40,97,1058,2,66.7,516,674,8
dz ALG,Fares Chaïbi,"MF,FW",Eint Frankfurt,1013,11.3,1,3,2.6,2.9,20,52,73,25,6,65.8,24,18,13,9,10,23,32,588,7,58.3,288,361,5
eng ENG,Trevoh Chalobah,DF,Crystal Palace,1060,11.8,3,0,1.2,0.4,11,34,6,11,4,79.0,4,2,20,16,19,39,57,594,6,60.0,278,317,10
eng ENG,Trevoh Chalobah,DF,Chelsea,910,10.1,0,1,0.8,1.2,4,37,2,7,2,90.0,3,3,11,7,10,21,48,774,2,40.0,426,574,9
us USA,Timothy Chandler,DF,Eint Frankfurt,24,0.3,0,0,0.0,0.0,1,3,4,0,0,70.8,0,0,0,0,3,3,2,31,0,0.0,16,21,0
eng ENG,Conor Chaplin,"MF,FW",Ipswich Town,857,9.5,1,1,1.5,0.7,13,29,23,16,3,73.7,8,7,15,5,4,19,3,390,4,50.0,179,264,11
fr FRA,Brendan Chardonnet,DF,Brest,2416,26.8,1,0,0.8,1.2,7,51,5,14,1,82.1,8,3,45,33,29,74,169,1521,0,,810,948,36
cg CGO,Gabriel Charpentier,FW,Parma,271,3.0,1,2,1.3,0.9,6,7,16,9,4,60.0,7,2,4,3,0,4,9,111,2,33.3,55,64,13
es ESP,Raúl Chasco,DF,Valladolid,130,1.4,0,0,0.0,0.0,1,3,2,0,0,60.3,1,1,4,1,2,6,2,74,0,0.0,28,28,3
jp JPN,Anrie Chase,DF,Stuttgart,734,8.2,0,0,0.1,0.0,6,28,2,5,0,91.9,0,2,10,4,9,19,35,622,2,40.0,334,453,12
es ESP,Pep Chavarría,"DF,FW",Rayo Vallecano,2585,28.7,0,1,1.2,1.9,59,114,133,11,3,79.7,24,27,46,36,30,76,108,1884,10,31.3,887,1053,31
br BRA,Arthur Chaves,DF,Hoffenheim,2185,24.3,1,0,0.8,0.1,10,57,13,10,2,82.1,5,1,51,36,37,88,136,1513,3,30.0,740,919,38
ec ECU,Jhoanner Chávez,"DF,MF",Lens,596,6.6,1,0,0.3,0.7,14,9,36,5,3,74.7,9,8,9,5,6,15,13,373,3,50.0,179,208,10
ma MAR,Walid Cheddira,FW,Napoli,12,0.1,0,0,0.0,0.0,0,1,1,0,0,66.7,1,0,0,0,0,0,0,3,0,,1,2,0
ma MAR,Walid Cheddira,FW,Espanyol,640,7.1,1,1,1.0,1.2,8,12,34,13,4,70.9,6,1,5,0,1,6,6,203,4,20.0,108,141,30
es ESP,Chema,MF,Real Madrid,12,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,1,3,0,,0,0,1
fr FRA,Théo Chennahi,DF,Montpellier,181,2.0,0,0,0.2,0.0,1,0,3,2,0,86.4,1,0,6,3,2,8,6,91,0,0.0,31,43,3
fr FRA,Sidiki Cherif,FW,Angers,324,3.6,0,0,0.7,0.2,8,3,16,5,2,53.2,2,1,5,5,0,5,0,107,3,25.0,71,78,4
fr FRA,Rayan Cherki,"FW,MF",Lyon,2041,22.7,8,11,5.0,11.1,106,206,184,45,19,78.5,75,77,15,12,7,22,6,1573,48,49.5,1021,1234,16
pt POR,Youssef Chermiti,"FW,MF",Everton,45,0.5,0,0,0.1,0.0,0,1,6,3,1,54.5,0,0,0,0,0,0,0,15,1,100.0,7,13,1
fr FRA,Lucas Chevalier,GK,Lille,3060,34.0,0,0,0.0,0.9,0,1,0,0,0,79.6,3,0,3,2,0,3,13,1150,0,,736,645,0
it ITA,Fabio Chiarodia,DF,Gladbach,379,4.2,1,0,0.3,0.4,1,10,1,4,1,84.0,1,1,10,4,9,19,53,298,0,,130,151,7
ar ARG,Julián Chicco,"MF,DF",Leganés,302,3.4,0,1,0.5,0.2,8,16,7,3,1,79.0,2,2,11,7,4,15,10,196,2,50.0,92,111,1
ar ARG,Leandro Chichizola,GK,Parma,90,1.0,0,0,0.0,0.0,0,1,0,0,0,72.0,0,0,0,0,0,0,2,54,0,,30,31,0
it ITA,Federico Chiesa,FW,Liverpool,108,1.2,0,0,0.3,0.2,3,3,7,5,2,87.1,2,1,1,0,0,1,1,46,0,0.0,31,33,3
eng ENG,Ben Chilwell,DF,Crystal Palace,259,2.9,1,0,0.2,0.8,5,8,15,5,3,73.6,5,3,7,6,6,13,16,175,2,33.3,68,68,2
pt POR,Chiquinho,MF,Wolves,7,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,1,1,0,0,0,0,0,3,0,,1,2,1
pt POR,Chiquinho,"MF,FW",Mallorca,146,1.6,0,0,0.3,0.0,4,1,12,4,2,64.7,2,0,1,0,2,3,0,76,5,38.5,43,49,6
es ESP,Pedro Chirivella,MF,Nantes,2348,26.1,0,2,0.5,1.8,16,170,25,8,2,85.1,19,24,44,29,19,63,45,1740,3,42.9,946,1244,25
fr FRA,Joris Chotard,MF,Montpellier,1892,21.0,1,0,1.3,0.5,20,80,35,19,3,81.8,7,11,39,27,19,58,52,1012,8,50.0,489,579,16
bd BAN,Hamza Choudhury,"MF,DF",Leicester City,131,1.5,0,0,0.0,0.4,4,3,6,0,0,85.7,2,1,1,1,5,6,2,100,3,75.0,63,71,1
dk DEN,Andreas Christensen,DF,Barcelona,254,2.8,0,0,0.0,0.0,1,15,1,1,0,91.8,1,0,6,4,4,10,9,246,0,,163,181,5
sct SCO,Ryan Christie,MF,Bournemouth,2117,23.5,2,3,1.8,3.5,34,137,44,33,12,79.3,41,33,54,33,30,84,51,1376,23,47.9,726,777,43
eng ENG,Carney Chukwuemeka,MF,Dortmund,253,2.8,1,0,0.6,0.9,15,18,24,8,2,78.7,7,6,7,5,1,8,1,169,7,53.8,107,119,4
ng NGA,Samuel Chukwueze,"FW,MF",Milan,925,10.3,3,2,2.7,3.0,48,36,116,32,8,75.8,27,21,17,11,2,19,9,556,26,55.3,369,406,3
it ITA,Aaron Ciammaglichella,MF,Torino,1,0.0,0,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
nl NED,Jasper Cillessen,GK,Las Palmas,2335,25.9,0,0,0.0,0.0,0,0,0,0,0,68.2,0,0,1,0,0,1,11,1079,0,,609,514,0
it ITA,Giuseppe Ciocci,GK,Cagliari,9,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,1,0,,1,1,0
au AUS,Alessandro Circati,DF,Parma,540,6.0,0,0,0.3,0.0,1,10,0,2,0,86.0,1,0,7,5,3,10,42,301,0,,123,158,4
sn SEN,Pathé Ciss,"MF,DF",Rayo Vallecano,2140,23.8,4,1,1.8,1.1,19,128,12,21,6,84.7,16,8,49,24,40,89,61,1449,14,60.9,749,877,45
it ITA,Alphadjo Cissè,"FW,MF",Hellas Verona,9,0.1,0,0,0.0,0.0,0,1,0,2,2,75.0,0,0,0,0,0,0,0,11,0,,6,10,1
fr FRA,Djaoui Cissé,MF,Rennes,1121,12.5,1,0,0.4,0.2,16,84,14,15,7,87.5,6,11,33,18,13,46,11,755,13,72.2,447,537,25
gn GUI,Seydouba Cissé,MF,Leganés,2435,27.1,3,1,3.0,1.0,26,110,42,24,5,84.6,17,15,59,37,12,71,45,1409,30,66.7,787,920,39
fr FRA,Yoann Cissé,MF,Auxerre,5,0.1,0,0,0.0,0.0,0,0,2,0,0,33.3,0,0,0,0,1,1,0,8,0,,4,4,0
it ITA,Patrick Ciurria,"MF,DF",Monza,1111,12.3,1,1,0.8,2.3,19,27,52,11,2,72.3,13,8,22,14,6,28,22,542,5,41.7,306,327,17
eng ENG,Harry Clarke,DF,Ipswich Town,379,4.2,0,0,0.1,0.0,5,14,2,1,1,80.5,1,1,5,3,4,9,14,268,1,50.0,118,163,5
eng ENG,Jack Clarke,"FW,MF",Ipswich Town,1181,13.1,0,4,1.2,2.3,39,44,57,17,2,76.8,28,9,32,20,7,39,29,553,25,50.0,311,338,15
fr FRA,Alexis Claude-Maurice,"MF,FW",Augsburg,2109,23.4,9,2,4.7,1.2,59,61,102,59,22,82.9,21,21,41,26,15,56,8,994,42,46.7,619,727,26
fr FRA,Jonathan Clauss,"DF,MF",Nice,2303,25.6,3,8,2.2,7.7,53,105,160,26,8,71.9,55,47,52,35,48,100,68,1675,11,39.3,747,899,26
es ESP,Silvi Clúa,MF,Girona,163,1.8,0,0,0.0,0.0,4,3,3,2,1,78.9,1,0,8,7,2,10,6,116,2,50.0,61,77,5
eng ENG,Nathaniel Clyne,"DF,MF",Crystal Palace,483,5.4,0,0,0.0,0.3,6,7,8,2,0,76.0,3,2,12,8,3,15,14,273,0,0.0,158,178,2
eng ENG,Conor Coady,DF,Leicester City,1714,19.0,1,0,0.4,0.1,3,32,0,2,2,91.1,1,2,13,9,13,26,71,1210,1,50.0,789,878,8
fr FRA,Marcus Coco,DF,Nantes,951,10.6,0,1,0.1,1.2,12,34,40,2,0,79.5,10,10,27,21,11,38,46,608,3,30.0,297,345,30
gq EQG,Saúl Coco,DF,Torino,2845,31.6,2,0,1.2,0.0,17,70,3,20,5,88.3,1,2,46,26,38,84,157,1879,7,77.8,1135,1227,53
ie IRL,Séamus Coleman,DF,Everton,215,2.4,0,0,0.6,0.0,1,11,7,1,1,75.5,0,2,3,2,1,4,8,121,4,80.0,54,68,0
ie IRL,Nathan Collins,DF,Brentford,3420,38.0,2,3,2.5,1.8,32,127,18,17,6,85.9,10,7,40,24,34,74,226,2435,6,50.0,1289,1490,29
de GER,Nnamdi Collins,DF,Eint Frankfurt,1489,16.5,1,1,0.8,1.0,30,63,42,5,2,86.3,2,12,33,24,16,49,74,1107,12,35.3,623,690,26
eng ENG,Toby Collyer,MF,Manchester Utd,179,2.0,0,0,0.2,0.3,0,5,2,1,0,82.6,2,1,12,9,2,14,3,129,1,50.0,68,71,2
it ITA,Lorenzo Colombo,"FW,MF",Empoli,2233,24.8,6,2,5.9,2.9,27,48,116,55,18,67.5,21,12,31,14,2,33,16,837,24,48.0,438,547,46
it ITA,Andrea Colpani,"FW,MF",Fiorentina,1432,15.9,2,1,2.7,1.3,37,57,129,35,12,80.7,17,15,15,9,8,23,10,609,12,44.4,395,449,21
eng ENG,Levi Colwill,DF,Chelsea,3149,35.0,2,1,1.9,1.1,14,131,12,17,4,89.3,14,7,47,34,33,80,118,2904,6,50.0,1621,2092,45
ro ROU,Florinel Coman,"FW,MF",Cagliari,263,2.9,1,0,0.2,0.0,5,5,22,4,1,81.7,1,2,5,3,1,6,3,121,2,40.0,84,98,8
fr FRA,Kingsley Coman,FW,Bayern Munich,1282,14.2,5,4,4.3,3.3,66,45,215,44,17,84.3,32,28,17,12,8,25,15,934,39,52.7,606,733,9
ch SUI,Eray Cömert,"DF,MF",Valladolid,1779,19.8,0,0,0.9,0.0,9,48,5,9,1,87.7,0,1,24,14,24,48,75,1114,4,100.0,599,728,18
es ESP,Santi Comesaña,MF,Villarreal,2560,28.4,4,2,4.6,2.0,39,154,58,39,8,84.6,27,30,85,49,19,104,56,1734,18,52.9,903,1149,37
it ITA,Pietro Comuzzo,DF,Fiorentina,2110,23.4,1,0,0.5,0.6,14,75,12,5,2,85.7,7,4,43,21,29,72,113,1533,0,0.0,892,982,24
pt POR,Francisco Conceição,"FW,MF",Juventus,1340,14.9,3,3,2.3,4.3,95,35,143,40,13,78.3,28,20,23,14,6,29,6,739,35,44.3,548,581,24
es ESP,Diego Conde,GK,Villarreal,1962,21.8,0,1,0.0,0.2,0,0,0,0,0,81.1,2,1,2,2,1,3,9,696,0,,393,347,0
ar ARG,Tomás Conechny,"FW,MF",Alavés,847,9.4,1,0,2.4,0.3,14,23,61,22,10,63.8,7,11,15,12,6,21,10,457,6,46.2,249,307,28
fr FRA,Alois Confais,MF,Le Havre,3,0.0,0,0,0.0,0.0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,2,0,,1,1,1
de GER,Sirlord Conteh,"FW,MF",Heidenheim,892,9.9,1,1,2.1,2.6,29,19,75,13,5,70.5,14,6,9,5,1,10,8,301,6,46.2,195,218,8
eng ENG,Lewis Cook,"MF,DF",Bournemouth,2978,33.1,1,3,0.9,4.1,33,158,52,14,4,77.2,48,26,81,42,41,122,70,1900,13,65.0,825,965,49
es ESP,Copete,DF,Mallorca,1528,17.0,0,0,0.5,0.0,10,47,2,6,2,83.3,0,4,29,17,17,46,123,987,4,80.0,518,590,27
it ITA,Diego Coppola,DF,Hellas Verona,2927,32.5,2,0,0.7,0.1,4,48,3,10,4,81.1,3,0,66,36,72,138,194,1576,1,20.0,749,793,44
fr FRA,Francis Coquelin,MF,Nantes,224,2.5,1,1,1.0,1.1,3,8,2,7,1,87.1,5,2,9,5,6,15,3,128,1,100.0,62,79,7
es ESP,Iker Córdoba,DF,Valencia,15,0.2,0,0,0.0,0.1,0,1,1,0,0,81.8,1,1,0,0,0,0,1,12,0,,7,10,0
ca CAN,Derek Cornelius,DF,Marseille,1420,15.8,0,0,0.9,0.1,10,68,11,9,1,93.4,4,0,24,17,14,38,51,1493,0,0.0,1012,1163,25
ci CIV,Maxwel Cornet,FW,Southampton,72,0.8,0,0,0.2,0.0,1,0,5,1,0,77.3,0,0,5,5,0,5,2,34,0,0.0,16,23,0
ci CIV,Maxwel Cornet,"FW,MF",Genoa,246,2.7,2,1,1.0,0.6,8,4,26,5,3,69.0,5,3,2,1,2,4,2,97,3,33.3,54,72,0
fr FRA,Pierre Cornud,DF,Saint-Étienne,576,6.4,0,0,0.0,0.3,11,19,17,0,0,81.9,3,5,12,10,9,21,28,397,2,28.6,190,212,10
ar ARG,Ángel Correa,"FW,MF",Atlético Madrid,805,8.9,4,1,4.5,2.1,30,25,85,34,14,73.6,14,10,9,3,4,13,8,419,13,34.2,276,303,18
ar ARG,Joaquín Correa,"FW,MF",Inter,731,8.1,2,2,2.1,2.0,22,42,45,14,6,85.9,10,12,11,5,0,11,6,438,6,60.0,295,353,8
pt POR,Thierry Correia,DF,Valencia,768,8.5,0,0,0.3,0.3,16,44,48,7,3,74.8,5,12,27,18,4,31,18,555,8,34.8,240,293,15
